                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.1908,                 2.2986,                  2.288,                  1.976,                 3.0276,                  2.037,                0.38077,                0.23295,                0.23487,                0.10274,                 2.2479,                 2.3051,                 2.3246,                 1.9074,                 3.1477,                 2.0728,              0.0014134,              0.0014134,              0.0014134
                     25,                 2.1323,                 2.1912,                 2.2935,                 1.9425,                 2.9212,                 2.0609,                0.39805,                0.28223,                0.29912,                0.14054,                 2.0917,                 2.0792,                 2.2032,                 1.8499,                 2.8938,                 2.0112,              0.0014127,              0.0014127,              0.0014127
                     26,                  2.055,                  2.127,                 2.2137,                 1.8454,                 2.8193,                 1.9603,                0.27706,                0.24276,                0.23373,                0.09817,                 2.4354,                 2.3395,                 2.3831,                 2.0922,                 3.0768,                 2.1642,               0.001412,               0.001412,               0.001412
                     27,                 2.1542,                 2.1833,                  2.273,                 1.8862,                 2.8428,                 2.0007,                0.37175,                0.33091,                0.31067,                0.14573,                 2.0126,                 1.9411,                   2.08,                 1.7677,                 2.6806,                 1.8999,              0.0014113,              0.0014113,              0.0014113
                     28,                 2.0536,                 2.0988,                 2.1815,                 1.8718,                 2.7209,                 1.9676,                0.47147,                0.31882,                0.35848,                0.17157,                 1.9435,                 1.8866,                 2.0381,                 1.6916,                 2.5664,                 1.8339,              0.0014106,              0.0014106,              0.0014106
                     29,                 2.0627,                 2.0779,                 2.2066,                 1.8618,                  2.712,                 1.9816,                0.40679,                0.35948,                0.39176,                0.19623,                 1.7929,                 1.8667,                 1.9593,                  1.636,                 2.5409,                 1.8149,              0.0014099,              0.0014099,              0.0014099
                     30,                 2.0464,                 2.0713,                 2.1835,                 1.8419,                 2.6996,                 1.9599,                0.36928,                0.38764,                0.34606,                0.14286,                 2.1111,                 1.9147,                 2.1082,                 1.8375,                 2.5463,                 1.9082,              0.0014092,              0.0014092,              0.0014092
                     31,                 1.9735,                  1.961,                 2.0892,                 1.8118,                 2.5435,                 1.8712,                0.36262,                  0.418,                0.35407,                0.16621,                  1.822,                 1.7357,                 1.9288,                 1.6874,                 2.4158,                 1.7823,              0.0014085,              0.0014085,              0.0014085
                     32,                 1.9351,                 1.9269,                 2.0584,                 1.7972,                 2.4979,                 1.8662,                0.48867,                0.44054,                0.44512,                 0.2372,                 1.6656,                 1.6135,                  1.857,                 1.5272,                 2.1933,                 1.6712,              0.0014078,              0.0014078,              0.0014078
                     33,                 1.9376,                 1.9751,                  2.088,                   1.79,                 2.5655,                 1.8911,                0.41492,                 0.4224,                0.41511,                0.20547,                 1.8362,                 1.7263,                 1.9315,                 1.6248,                 2.2852,                 1.7761,              0.0014071,              0.0014071,              0.0014071
                     34,                 1.9377,                 1.9765,                 2.0047,                 1.8034,                 2.4831,                 1.8196,                0.45257,                0.39087,                0.45117,                0.21448,                 1.8133,                 1.7231,                 1.9325,                 1.6097,                  2.309,                 1.7458,              0.0014064,              0.0014064,              0.0014064
                     35,                 1.8398,                 1.8402,                 1.9618,                 1.7439,                 2.3599,                 1.8026,                0.59368,                0.43543,                0.49218,                0.24436,                 1.7544,                 1.7203,                 1.8697,                 1.6766,                 2.2049,                 1.7911,              0.0014057,              0.0014057,              0.0014057
                     36,                 1.8064,                 1.8128,                 1.9679,                 1.7046,                 2.3444,                 1.7849,                0.42167,                0.50792,                0.43713,                0.22794,                  1.724,                 1.7319,                 1.8389,                 1.6349,                 2.2723,                 1.7061,              0.0014049,              0.0014049,              0.0014049
                     37,                 1.8141,                 1.8205,                 1.9308,                 1.7428,                 2.3496,                 1.7881,                 0.4924,                0.42917,                0.40483,                0.22685,                 1.6505,                 1.6871,                 1.8229,                 1.5726,                 2.2639,                 1.7547,              0.0014042,              0.0014042,              0.0014042
                     38,                 1.8131,                 1.7821,                 1.9333,                 1.6957,                 2.3106,                  1.783,                0.45293,                0.49039,                0.47725,                0.27629,                 1.6994,                 1.6691,                 1.8324,                 1.5494,                 2.1833,                 1.6747,              0.0014035,              0.0014035,              0.0014035
                     39,                  1.729,                 1.7604,                 1.8569,                  1.643,                 2.2121,                 1.7129,                 0.4555,                0.52187,                0.47001,                0.28203,                  1.525,                 1.6369,                 1.7101,                 1.3905,                 2.2234,                  1.592,              0.0014028,              0.0014028,              0.0014028
                     40,                 1.7404,                 1.7717,                 1.8592,                 1.6625,                 2.2681,                 1.7241,                 0.4655,                0.47257,                 0.4657,                0.27677,                 1.4984,                 1.7867,                 1.7057,                 1.4377,                 2.2743,                 1.6643,              0.0014021,              0.0014021,              0.0014021
                     41,                 1.6689,                 1.7007,                 1.8122,                  1.609,                 2.1531,                 1.6806,                0.47645,                0.54124,                0.51373,                0.31501,                   1.48,                 1.4613,                 1.7082,                 1.4304,                  1.933,                 1.6212,              0.0014014,              0.0014014,              0.0014014
                     42,                 1.6444,                 1.6628,                  1.823,                  1.552,                 2.1414,                 1.6704,                0.49607,                0.50347,                0.47549,                0.29982,                 1.4864,                 1.5695,                 1.6899,                  1.345,                  2.142,                 1.5492,              0.0014007,              0.0014007,              0.0014007
                     43,                 1.6637,                 1.6366,                 1.8186,                 1.5998,                 2.1351,                 1.7032,                0.61776,                0.53379,                0.56515,                0.31989,                 1.5264,                 1.4556,                 1.7183,                 1.4199,                 1.9106,                 1.6006,                 0.0014,                 0.0014,                 0.0014
                     44,                 1.6317,                 1.6702,                 1.8073,                 1.5738,                 2.1295,                 1.7029,                0.49971,                0.52238,                0.54537,                0.32419,                 1.5328,                 1.6123,                 1.6988,                 1.4377,                 1.9157,                 1.5397,              0.0013993,              0.0013993,              0.0013993
                     45,                 1.6239,                 1.6055,                 1.7549,                 1.5858,                 2.0587,                  1.654,                0.60514,                0.49682,                0.54787,                0.35676,                 1.3801,                 1.3745,                 1.5779,                 1.3152,                 1.8186,                 1.4619,              0.0013986,              0.0013986,              0.0013986
                     46,                  1.604,                 1.5719,                 1.7383,                 1.5701,                 2.0099,                 1.6351,                0.57095,                0.41398,                0.49104,                0.29933,                 1.4547,                 1.5074,                 1.6607,                 1.3819,                 1.9581,                 1.5456,              0.0013979,              0.0013979,              0.0013979
