                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9775,                 4.3411,                 4.3602,                 3.7147,                 6.5957,                 4.4938,                      0,                      0,                      0,                      0,                 4.2851,                 4.3672,                 4.1583,                 4.1531,                 7.0352,                 4.1583,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.8864,                  4.364,                 4.3604,                 3.6294,                 6.8328,                  4.534,                      0,                      0,                      0,                      0,                 4.2845,                 4.3669,                 4.1573,                 4.1524,                 7.0343,                 4.1574,             0.00015688,             0.00015688,             0.00015688
                      3,                 3.8628,                  4.275,                 4.2345,                 3.6043,                   6.38,                 4.3255,                      0,                      0,                      0,                      0,                 4.2842,                 4.3667,                 4.1569,                 4.1532,                 7.0319,                  4.157,             0.00024197,             0.00024197,             0.00024197
                      4,                  3.765,                 4.1942,                 4.1496,                 3.4752,                 6.3344,                 4.2012,                      0,                      0,                      0,                      0,                 4.2839,                 4.3663,                 4.1573,                 4.1563,                 7.0288,                 4.1582,             0.00032672,             0.00032672,             0.00032672
                      5,                 3.6514,                 4.0728,                 4.0453,                 3.3755,                 5.8925,                  4.064,                      0,                      0,                      0,                      0,                 4.2834,                 4.3666,                 4.1584,                  4.161,                 7.0211,                 4.1619,             0.00041113,             0.00041113,             0.00041113
                      6,                  3.595,                 3.9144,                 3.9187,                 3.3249,                 5.4526,                 3.9385,                      0,                      0,                      0,                      0,                 4.2909,                 4.3693,                  4.167,                 4.1727,                 7.0123,                 4.1693,              0.0004952,              0.0004952,              0.0004952
                      7,                 3.3304,                  3.721,                 3.7486,                 2.9857,                 5.0432,                 3.6781,                      0,                      0,                      0,                      0,                 4.3046,                 4.3747,                  4.182,                 4.1932,                 6.9983,                 4.1825,             0.00057893,             0.00057893,             0.00057893
                      8,                  3.213,                 3.6398,                 3.6094,                 2.8964,                 4.9183,                 3.4731,                      0,                      0,                      0,                      0,                 4.3224,                 4.3873,                 4.2161,                 4.2292,                 6.9835,                 4.2073,             0.00066232,             0.00066232,             0.00066232
                      9,                 3.1707,                 3.5138,                 3.4412,                 2.8311,                 4.6875,                 3.2764,                      0,                      0,                      0,                      0,                 4.3424,                 4.4142,                 4.2555,                 4.2634,                 6.9535,                 4.2356,             0.00074537,             0.00074537,             0.00074537
                     10,                 3.1016,                 3.3997,                 3.3477,                 2.6837,                 4.5572,                 3.1616,                      0,                      0,                      0,                      0,                 4.3143,                 4.4147,                 4.2405,                 4.2706,                 6.8457,                 4.2367,             0.00082809,             0.00082809,             0.00082809
                     11,                 3.0174,                 3.2925,                 3.1973,                 2.6309,                 4.3479,                 3.0109,                      0,                      0,                      0,                      0,                 4.3661,                 4.4406,                 4.2969,                 4.3313,                  6.785,                 4.2803,             0.00091046,             0.00091046,             0.00091046
                     12,                 2.9496,                 3.1719,                 3.1094,                 2.5608,                  4.226,                 2.9324,                0.00159,                0.01905,                0.00109,                 0.0002,                 4.4419,                 4.4756,                 4.3846,                 4.4041,                 6.7442,                 4.3439,             0.00099249,             0.00099249,             0.00099249
                     13,                 2.7837,                 3.1029,                 3.0142,                 2.4374,                 4.1511,                  2.814,                0.00089,                 0.0381,                0.00096,                 0.0002,                 4.4919,                 4.5195,                 4.4301,                 4.4635,                 6.6297,                 4.3877,              0.0010742,              0.0010742,              0.0010742
                     14,                 2.7401,                 3.0461,                 2.9536,                 2.3456,                   4.12,                 2.7718,                0.00058,                0.01905,                0.00061,                0.00014,                 4.3194,                 4.4961,                 4.2433,                 4.2674,                 6.3117,                 4.2517,              0.0011555,              0.0011555,              0.0011555
                     15,                 2.6839,                 2.9636,                 2.8798,                  2.275,                 4.0198,                 2.6284,                0.00081,                0.01905,                0.00067,                0.00018,                 4.2558,                 4.5219,                 4.2703,                 4.0619,                 6.0952,                 4.1434,              0.0012366,              0.0012366,              0.0012366
                     16,                 2.5856,                 2.8757,                 2.8034,                 2.2713,                 3.8877,                 2.5773,                0.00082,                0.01905,                0.00173,                0.00034,                 3.5732,                 4.2084,                 3.5644,                 3.2689,                 5.3419,                 3.3904,              0.0013172,              0.0013172,              0.0013172
                     17,                 2.5348,                 2.8097,                 2.7418,                 2.2526,                 3.7864,                 2.4995,                0.00146,                0.05067,                0.00357,                0.00092,                 3.3115,                 4.0123,                 3.3107,                 2.7246,                 5.0137,                 3.0064,              0.0013837,              0.0013837,              0.0013837
                     18,                 2.4236,                 2.6627,                 2.6333,                 2.1297,                 3.5895,                 2.3569,                0.00471,                0.22704,                0.01481,                0.00347,                 2.9703,                 3.7678,                  2.992,                 2.4405,                 4.7252,                 2.6635,              0.0013837,              0.0013837,              0.0013837
                     19,                 2.3889,                 2.5585,                 2.5699,                 2.1289,                  3.447,                 2.2903,                 0.0073,                0.33949,                0.03293,                0.01495,                  2.782,                 3.4478,                 2.8829,                 2.1628,                 4.4197,                 2.4658,              0.0013809,              0.0013809,              0.0013809
                     20,                 2.3499,                 2.5078,                 2.5342,                 2.0546,                 3.4131,                 2.2307,                0.17105,                0.12874,                0.07106,                0.03049,                 2.5257,                 3.0477,                 2.6907,                 2.0739,                 4.1445,                 2.4161,              0.0013781,              0.0013781,              0.0013781
                     21,                 2.2586,                 2.3586,                 2.4026,                 2.0549,                 3.1705,                 2.1157,                0.40038,                0.11767,                0.08872,                0.03566,                 2.3668,                  2.991,                 2.5384,                 1.9907,                 4.0297,                 2.3267,              0.0013752,              0.0013752,              0.0013752
                     22,                 2.2458,                 2.4012,                 2.4345,                  2.042,                 3.1702,                 2.1592,                0.58067,                0.17319,                0.11197,                0.05403,                 2.2543,                 2.7002,                 2.3973,                 1.8978,                 3.7972,                 2.1507,              0.0013724,              0.0013724,              0.0013724
                     23,                 2.1711,                 2.2981,                 2.3253,                 1.9732,                 3.0462,                 2.0391,                0.22413,                0.15314,                0.17699,                0.07787,                 2.1971,                 2.4391,                  2.359,                 1.9563,                 3.4062,                 2.2422,              0.0013696,              0.0013696,              0.0013696
                     24,                 2.1547,                 2.2993,                 2.2951,                 1.9199,                 3.0553,                 2.0051,                0.25335,                0.16155,                0.18978,                0.06671,                 2.2908,                 2.5031,                  2.412,                 2.0529,                 3.5991,                  2.342,              0.0013668,              0.0013668,              0.0013668
