                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8133,                  4.318,                 4.3605,                 3.6001,                 6.6159,                 4.5093,                      0,                      0,                      0,                      0,                 4.2849,                 4.3669,                 4.1581,                 4.1528,                  7.033,                 4.1581,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.8417,                 4.3122,                 4.3073,                 3.6107,                 6.5867,                  4.437,                      0,                      0,                      0,                      0,                 4.2844,                 4.3668,                 4.1573,                 4.1523,                 7.0321,                 4.1573,             0.00015688,             0.00015688,             0.00015688
                      3,                 3.8881,                 4.2327,                 4.2247,                 3.6536,                 6.4017,                 4.3057,                      0,                      0,                      0,                      0,                 4.2838,                 4.3666,                 4.1567,                 4.1525,                 7.0294,                  4.157,             0.00024197,             0.00024197,             0.00024197
                      4,                 3.8197,                 4.1843,                 4.1359,                 3.5502,                 6.0664,                 4.1659,                      0,                      0,                      0,                      0,                 4.2821,                 4.3664,                 4.1562,                 4.1536,                 7.0239,                 4.1578,             0.00032672,             0.00032672,             0.00032672
                      5,                 3.6669,                 4.0217,                 4.0384,                 3.4195,                 5.7867,                 4.0565,                      0,                      0,                      0,                      0,                 4.2786,                 4.3668,                 4.1562,                 4.1559,                 7.0153,                 4.1608,             0.00041113,             0.00041113,             0.00041113
                      6,                  3.504,                 3.9004,                 3.9063,                 3.1835,                  5.521,                 3.8991,                      0,                      0,                      0,                      0,                 4.2743,                 4.3681,                  4.157,                 4.1623,                 7.0017,                 4.1666,              0.0004952,              0.0004952,              0.0004952
                      7,                 3.4108,                 3.7287,                  3.732,                  3.094,                 5.1403,                 3.6427,                      0,                      0,                      0,                      0,                 4.2898,                 4.3744,                 4.1775,                 4.1795,                 6.9893,                 4.1835,             0.00057893,             0.00057893,             0.00057893
                      8,                 3.2954,                 3.6629,                 3.6542,                 2.9665,                 5.0749,                  3.541,                      0,                      0,                      0,                      0,                  4.336,                 4.3976,                 4.2307,                   4.22,                 6.9796,                 4.2181,             0.00066232,             0.00066232,             0.00066232
                      9,                 3.2284,                 3.4999,                  3.472,                 2.8812,                 4.7303,                 3.3263,                      0,                      0,                      0,                      0,                 4.3053,                  4.399,                 4.2112,                 4.2279,                 6.8966,                 4.2148,             0.00074537,             0.00074537,             0.00074537
                     10,                 3.1166,                 3.3722,                 3.3119,                 2.7554,                 4.5898,                 3.1439,                      0,                      0,                      0,                      0,                 4.3235,                 4.4194,                 4.2418,                 4.2709,                 6.8704,                 4.2424,             0.00082809,             0.00082809,             0.00082809
                     11,                 3.0229,                 3.2855,                 3.2136,                 2.6116,                 4.4596,                 3.0752,                      0,                      0,                      0,                      0,                 4.3504,                 4.4474,                 4.2808,                 4.3166,                 6.7952,                 4.2696,             0.00091046,             0.00091046,             0.00091046
                     12,                 2.8617,                 3.1976,                 3.0547,                 2.4613,                 4.3262,                 2.9187,                      0,                      0,                      0,                      0,                 4.3248,                 4.4483,                 4.2531,                 4.3189,                 6.6903,                 4.2728,             0.00099249,             0.00099249,             0.00099249
                     13,                 2.8044,                 3.0984,                 2.9971,                 2.4662,                 4.1869,                 2.7651,                0.00505,                0.00952,                0.00265,                0.00026,                 4.2377,                  4.435,                 4.1623,                 4.2865,                 6.5346,                 4.2582,              0.0010742,              0.0010742,              0.0010742
                     14,                 2.7667,                 2.9792,                 2.8642,                  2.401,                 4.0463,                 2.6687,                0.00119,                0.02857,                0.00101,                0.00027,                 4.2164,                 4.4598,                 4.1676,                 4.2237,                 6.3076,                 4.2555,              0.0011555,              0.0011555,              0.0011555
                     15,                 2.6139,                 2.8533,                  2.766,                 2.3152,                 3.9285,                  2.576,                0.00067,                0.02857,                0.00486,                0.00148,                 3.9808,                 4.4387,                 4.0053,                 3.7466,                 5.8577,                 3.9658,              0.0012366,              0.0012366,              0.0012366
                     16,                 2.5674,                 2.7559,                   2.73,                 2.3243,                 3.7487,                  2.492,                0.00042,                0.01905,                0.00453,                0.00056,                 3.8351,                 4.4323,                 3.9528,                 3.4667,                 5.6594,                 3.8475,              0.0013172,              0.0013172,              0.0013172
                     17,                 2.4975,                   2.69,                 2.6422,                 2.2088,                 3.6167,                 2.3867,                0.00079,                0.04438,                0.00335,                0.00054,                  3.792,                 4.3687,                 3.8836,                 3.2511,                 5.4531,                 3.6496,              0.0013837,              0.0013837,              0.0013837
                     18,                 2.4851,                  2.669,                 2.6301,                 2.1615,                 3.6311,                 2.3408,                0.42336,                0.03792,                 0.0367,                0.00976,                 3.1109,                 3.8144,                 3.2788,                 2.7504,                 4.8635,                 3.0128,              0.0013837,              0.0013837,              0.0013837
                     19,                 2.4177,                 2.6637,                 2.5764,                 2.1354,                 3.5629,                 2.3014,                0.00407,                 0.1659,                0.02333,                0.00687,                  3.509,                 4.0655,                 3.6381,                  3.031,                 5.0558,                 3.3864,              0.0013809,              0.0013809,              0.0013809
                     20,                 2.3207,                 2.5192,                 2.4587,                 2.1234,                 3.4166,                 2.1939,                0.49818,                0.02839,                0.04508,                0.01858,                 3.1663,                 3.4329,                 3.2319,                 2.8434,                 4.7235,                 3.0104,              0.0013781,              0.0013781,              0.0013781
                     21,                 2.3508,                  2.498,                 2.4865,                 2.0799,                 3.3371,                 2.1772,                0.26242,                0.14669,                0.10697,                0.05137,                 2.4076,                 2.9079,                  2.531,                 2.2436,                 3.9748,                 2.3943,              0.0013752,              0.0013752,              0.0013752
                     22,                 2.2018,                 2.3194,                 2.3084,                 2.0161,                 3.1018,                 2.0446,                0.17369,                0.14512,                0.13583,                0.05369,                 2.4381,                 2.6702,                 2.4544,                  2.167,                  3.518,                 2.1992,              0.0013724,              0.0013724,              0.0013724
                     23,                   2.21,                 2.3326,                 2.3161,                 1.9983,                 3.0978,                  2.048,                0.19771,                0.22016,                0.17469,                0.08007,                 2.1745,                 2.4313,                 2.2841,                 2.0063,                 3.2493,                 2.1577,              0.0013696,              0.0013696,              0.0013696
                     24,                  2.199,                 2.2447,                 2.3096,                 2.0053,                 2.9873,                 2.0352,                0.32194,                 0.2665,                0.27767,                0.14539,                 2.0371,                 2.1339,                 2.1714,                 1.7687,                 2.9054,                  1.981,              0.0013668,              0.0013668,              0.0013668
                     25,                 2.1651,                 2.2052,                 2.2457,                 1.9768,                 2.9023,                 1.9825,                0.37676,                0.32397,                0.27413,                0.12702,                   1.97,                  2.041,                   2.08,                 1.7535,                 2.8446,                 1.8811,              0.0013639,              0.0013639,              0.0013639
                     26,                 2.1795,                 2.2177,                 2.2853,                 1.9405,                 2.9092,                 1.9765,                0.38436,                0.35243,                0.29741,                0.13765,                 1.9366,                 1.9853,                 2.0751,                 1.7338,                 2.7217,                 1.8897,              0.0013611,              0.0013611,              0.0013611
                     27,                 2.0568,                 2.1791,                 2.2757,                 1.8426,                 2.9348,                 1.9993,                0.37401,                0.33933,                0.34532,                0.17842,                 1.8799,                 1.9929,                 2.0432,                  1.648,                 2.6602,                 1.7735,              0.0013583,              0.0013583,              0.0013583
                     28,                 2.1064,                  2.169,                 2.2471,                 1.9293,                  2.828,                 1.9782,                0.53566,                 0.3787,                 0.4075,                0.21573,                 1.8112,                 1.7493,                 1.9771,                 1.6099,                 2.4713,                 1.8005,              0.0013554,              0.0013554,              0.0013554
                     29,                 2.0032,                 2.0823,                 2.1664,                 1.8157,                 2.7411,                 1.9175,                0.43129,                0.33421,                0.37227,                0.20599,                 1.8013,                 1.8072,                 1.9554,                 1.6485,                 2.4824,                 1.7973,              0.0013526,              0.0013526,              0.0013526
                     30,                 1.9476,                 2.0437,                 2.1462,                 1.7887,                 2.6318,                 1.8761,                0.38377,                0.36266,                0.36807,                0.19448,                 1.8361,                 1.8734,                  1.999,                   1.66,                 2.4388,                 1.7627,              0.0013498,              0.0013498,              0.0013498
                     31,                 1.9992,                 2.0012,                 2.1293,                 1.9003,                 2.5936,                 1.8739,                 0.4431,                0.30593,                0.35956,                0.19933,                 1.8123,                 1.8679,                  1.932,                 1.5701,                 2.5673,                 1.7428,              0.0013469,              0.0013469,              0.0013469
                     32,                 1.9838,                 1.9766,                 2.0824,                 1.8036,                 2.5515,                 1.8406,                0.40363,                0.37781,                0.37514,                 0.2041,                 1.7104,                 1.7733,                 1.8808,                 1.5849,                 2.4039,                 1.7133,              0.0013441,              0.0013441,              0.0013441
                     33,                 1.9706,                 1.9293,                 2.0357,                 1.8301,                  2.491,                 1.8108,                0.39125,                0.50938,                0.36662,                0.19669,                 1.7313,                 1.9232,                 1.9016,                 1.5902,                 2.3338,                 1.7712,              0.0013413,              0.0013413,              0.0013413
                     34,                  1.867,                  1.996,                 2.0713,                 1.7125,                 2.6085,                 1.8111,                0.44938,                0.46247,                0.43266,                0.24557,                 1.6836,                 1.6713,                 1.8536,                 1.5515,                 2.2396,                 1.6802,              0.0013385,              0.0013385,              0.0013385
                     35,                 1.8867,                  1.901,                 2.0371,                 1.7471,                 2.4511,                 1.7924,                0.36646,                0.36895,                 0.3643,                0.21215,                 1.6592,                 1.7423,                 1.8127,                 1.5384,                 2.3133,                 1.6529,              0.0013356,              0.0013356,              0.0013356
                     36,                 1.8538,                  1.871,                 1.9853,                 1.7293,                 2.3892,                 1.7737,                0.46005,                0.45156,                0.43161,                0.25216,                 1.6122,                  1.631,                 1.8013,                   1.46,                 2.1465,                 1.6153,              0.0013328,              0.0013328,              0.0013328
                     37,                 1.8299,                 1.8404,                 1.9698,                 1.7259,                 2.3558,                 1.7777,                0.41973,                0.47232,                0.43196,                0.23696,                  1.722,                 1.6453,                  1.871,                 1.6048,                 2.1747,                 1.7571,                0.00133,                0.00133,                0.00133
                     38,                  1.822,                 1.8333,                 1.9872,                 1.7139,                 2.3623,                 1.7726,                0.47584,                0.43843,                0.47198,                0.27988,                 1.5633,                 1.5379,                 1.7486,                 1.4427,                 2.0441,                 1.5935,              0.0013271,              0.0013271,              0.0013271
                     39,                 1.7912,                 1.7988,                 1.9329,                 1.6992,                 2.2747,                 1.7489,                0.37429,                0.41043,                0.39758,                0.20849,                 1.7441,                 1.7755,                 1.9003,                 1.6756,                 2.2412,                 1.8444,              0.0013243,              0.0013243,              0.0013243
                     40,                 1.7665,                 1.7579,                 1.8759,                 1.6748,                 2.2668,                  1.707,                0.45648,                0.41967,                0.44916,                0.24839,                 1.5127,                 1.6788,                 1.7533,                 1.4885,                 2.1424,                 1.6625,              0.0013215,              0.0013215,              0.0013215
                     41,                 1.7388,                 1.7264,                 1.9076,                 1.6677,                 2.1977,                 1.7396,                0.49944,                0.50922,                0.49301,                0.29219,                 1.4797,                 1.5662,                  1.695,                 1.4219,                 2.0483,                 1.5913,              0.0013187,              0.0013187,              0.0013187
                     42,                 1.7237,                 1.7033,                 1.9003,                 1.6457,                 2.1729,                 1.7214,                0.51163,                0.49284,                0.47166,                0.27057,                 1.5403,                 1.7452,                 1.7604,                 1.3888,                 2.0968,                  1.646,              0.0013158,              0.0013158,              0.0013158
